A,138.796
B,749.750.701.707
C,164.102.308.337
D,496.715.714.751.754.851
E,637.530.361.649.33.32
F,279.244.278.277
G,470.429
H,825.826.780.809
J,424.668.600.570.290.500
K,123.352.130.161.721.582
L,103.507.245.590.791.704
P,654.182.78.677.768.767
R,112.317.65.186.741.655.488.558
S,786.529.801.533.758.802.510.231
T,47.425.577.73
